City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
590,Kintinku,TZ,75.25,overcast clouds,-5.8833,35.2333,
592,Kontagora,NG,84.61,light rain,10.3999,5.4695,Queens Guest Inn
593,Jalu,LY,77.52,clear sky,29.0331,21.5482,صاحبة الفخامة
594,Tam Ky,VN,76.86,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
598,San Cristobal,VE,82.58,clear sky,7.7669,-72.225,Pirineos
600,Nantucket,US,75.31,clear sky,41.2835,-70.0995,Jared Coffin House
601,Poso,ID,76.17,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
602,Nioro,GM,86.9,broken clouds,13.35,-15.75,
603,Antalaha,MG,71.92,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
608,Monrovia,LR,77.52,light rain,6.3005,-10.7969,Sunset Inn
610,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
611,Trincomalee,LK,81.93,overcast clouds,8.5711,81.2335,Welcombe Hotel
614,Vieques,PR,88.84,haze,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
615,Corinto,GR,74.41,clear sky,37.9407,22.9573,Ephira Hotel
616,Presidencia Roque Saenz Pena,AR,75.2,clear sky,-26.7852,-60.4388,Hotel Gualok
619,Dawei,MM,76.75,overcast clouds,14.0833,98.2,Hotel Dawei
620,Mancio Lima,BR,87.87,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
623,Thibodaux,US,86.99,few clouds,29.7958,-90.8229,Hampton Inn & Suites Thibodaux
624,Tevaitoa,PF,80.6,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
625,Chimore,BO,72.64,overcast clouds,-16.9833,-65.1333,Bichito
626,Claudio,BR,72.23,clear sky,-20.4433,-44.7658,Hotel 3 Irmãos
629,Kutum,SD,81.59,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
630,Lewiston,US,89.71,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
631,Vallenar,CL,79.34,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
633,Bayeux,BR,81.23,broken clouds,-7.125,-34.9322,Infinity Motel
634,San Juan,AR,76.37,scattered clouds,-31.5375,-68.5364,Hotel Provincial
635,Palmas,BR,89.47,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
636,Kloulklubed,PW,83.68,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
637,Lotofaga,WS,71.38,broken clouds,-13.9764,-171.8578,Sataoa Beach Fales
643,Zhuhai,CN,77.86,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
644,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
645,Tucuma,BR,80.8,few clouds,-0.1833,-50.05,
647,Portland,US,71.62,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
648,Sao Jose Da Coroa Grande,BR,79.72,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
650,San Policarpo,PH,79.12,scattered clouds,12.1791,125.5072,Agapita M. Nicart
651,Evans,US,88.9,broken clouds,33.5337,-82.1307,Evans hide out
653,Galesong,ID,75.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
657,Puerto Penasco,MX,74.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
659,Mana,GF,79.05,overcast clouds,5.6592,-53.7767,LE SAMANA
663,Jieshi,CN,72.81,overcast clouds,22.8134,115.8257,Yuehai Hotel
665,Gamba,GA,75.69,broken clouds,-2.65,10.0,
670,Tarauaca,BR,79.63,overcast clouds,-8.1614,-70.7656,Flat Temporada
671,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
672,Ndele,CF,81.68,overcast clouds,8.4109,20.6473,
674,Moerai,PF,78.19,few clouds,-22.4333,-151.3333,Le Manotel
675,Kimbe,PG,75.49,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
676,Allada,BJ,81.36,overcast clouds,6.6655,2.1514,Royaume hotel d' Allada
683,Waldoboro,US,88.3,broken clouds,44.0954,-69.3756,Le Vatout Bed & Breakfast
686,Aras,ES,75.61,light rain,42.5617,-2.356,Jardines de Viana Spa
688,Bantogon,PH,78.1,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
689,Doka,SD,84.52,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
691,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
692,Xambioa,BR,80.73,clear sky,-6.4111,-48.5364,Hotel Pousada meia lua
694,Sao Gabriel Da Cachoeira,BR,80.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
696,Moquegua,PE,75.67,few clouds,-17.1956,-70.9353,Residencial Moquegua
698,Turan,VN,82.38,scattered clouds,16.0678,108.2208,Grand Mercure Danang
